Id,Sold Price
47439,1818925
47440,612554
47441,300107
47442,2733655
47443,789356
47444,466288
47445,1904930
47446,596164
47447,1982626
47448,839098
47449,863822
47450,961419
47451,2776116
47452,689265
47453,273290
47454,1322560
47455,1252070
47456,645101
47457,2275768
47458,657035
47459,768017
47460,1438148
47461,497411
47462,1387554
47463,1203719
47464,1106184
47465,1660585
47466,1899881
47467,6907987
47468,1271006
47469,310291
47470,1314083
47471,1080022
47472,987017
47473,1182460
47474,599691
47475,1425829
47476,596841
47477,1063293
47478,954275
47479,857713
47480,844799
47481,1950236
47482,2993297
47483,949265
47484,1083051
47485,1052001
47486,666120
47487,1870273
47488,2107723
47489,1374514
47490,1561479
47491,654299
47492,524909
47493,1109231
47494,1825830
47495,1983416
47496,4620962
47497,1326124
47498,1227657
47499,2145323
47500,718632
47501,846495
47502,934841
47503,811378
47504,965699
47505,686217
47506,702781
47507,1230775
47508,2904731
47509,1133456
47510,725400
47511,526848
47512,829923
47513,974957
47514,797231
47515,880525
47516,801395
47517,2841525
47518,2148844
47519,907917
47520,1365077
47521,1324122
47522,803246
47523,1871302
47524,707157
47525,2847646
47526,1078951
47527,1231756
47528,1581563
47529,1002124
47530,1164564
47531,1823068
47532,1599590
47533,2230563
47534,1405232
47535,1257235
47536,2438227
47537,923313
47538,712530
47539,671586
47540,627946
47541,331657
47542,541942
47543,3034999
47544,2639158
47545,546760
47546,4170620
47547,500397
47548,886511
47549,662202
47550,1582999
47551,545661
47552,854340
47553,1471814
47554,630524
47555,1485372
47556,764534
47557,1741094
47558,1320288
47559,955252
47560,1450754
47561,1619063
47562,801466
47563,1426395
47564,1029934
47565,1315115
47566,530990
47567,1856877
47568,632291
47569,2081703
47570,1580294
47571,591030
47572,3449654
47573,1000652
47574,703952
47575,2327854
47576,1167481
47577,2869458
47578,3045312
47579,1613954
47580,1163488
47581,492060
47582,870950
47583,1256533
47584,1772977
47585,505697
47586,1292060
47587,591753
47588,7723439
47589,1744465
47590,728808
47591,1911782
47592,4517428
47593,1626824
47594,1900175
47595,2112118
47596,844018
47597,2283721
47598,861570
47599,978438
47600,748266
47601,809151
47602,1483206
47603,694884
47604,954726
47605,1240177
47606,993982
47607,792806
47608,1116595
47609,597472
47610,766785
47611,780157
47612,1482940
47613,1089841
47614,1094204
47615,792854
47616,1057546
47617,1945899
47618,872506
47619,608229
47620,1997872
47621,1246264
47622,820813
47623,598777
47624,633528
47625,711996
47626,649161
47627,1280207
47628,1018600
47629,619774
47630,622899
47631,1048095
47632,1781995
47633,1580165
47634,909832
47635,767148
47636,668423
47637,1315294
47638,837406
47639,716114
47640,1518698
47641,2045875
47642,1325624
47643,827268
47644,1196832
47645,797621
47646,791659
47647,682854
47648,2542331
47649,1527392
47650,1400911
47651,985290
47652,1115785
47653,422538
47654,514172
47655,1494787
47656,826835
47657,2081977
47658,785738
47659,733605
47660,438620
47661,635908
47662,1101470
47663,345160
47664,839568
47665,991602
47666,727490
47667,766194
47668,921207
47669,819528
47670,720356
47671,545962
47672,1246119
47673,303646
47674,1041440
47675,857055
47676,512489
47677,3948604
47678,687313
47679,910279
47680,798929
47681,915796
47682,774949
47683,1461023
47684,1290883
47685,1513521
47686,886947
47687,2398633
47688,1027095
47689,2287302
47690,709211
47691,720308
47692,3293007
47693,506453
47694,1349797
47695,894939
47696,1238318
47697,1004195
47698,5706398
47699,1362603
47700,1589649
47701,814267
47702,1312173
47703,1530952
47704,799860
47705,1360049
47706,6234623
47707,2404485
47708,1365130
47709,4398585
47710,732495
47711,570970
47712,2050737
47713,530864
47714,2546356
47715,2407641
47716,955173
47717,3599708
47718,838861
47719,1480544
47720,631387
47721,929364
47722,1530576
47723,707188
47724,1463403
47725,1314282
47726,1100633
47727,751207
47728,881602
47729,777236
47730,1732754
47731,667742
47732,667410
47733,6160720
47734,855523
47735,1336926
47736,590524
47737,4213825
47738,1498050
47739,704216
47740,1020295
47741,950347
47742,1501251
47743,1950398
47744,1180187
47745,601767
47746,1600852
47747,1241438
47748,2897002
47749,1297510
47750,2671338
47751,727169
47752,1407983
47753,688961
47754,1072027
47755,1331699
47756,1256078
47757,927993
47758,1089234
47759,1919506
47760,1520774
47761,729003
47762,1352447
47763,719003
47764,787267
47765,650579
47766,1880069
47767,687618
47768,1163570
47769,831388
47770,4899235
47771,5053552
47772,958154
47773,785841
47774,1805563
47775,985666
47776,832191
47777,1408734
47778,725990
47779,2260136
47780,1892641
47781,865934
47782,1989443
47783,1520271
47784,759606
47785,1654602
47786,1140434
47787,1192843
47788,651018
47789,815774
47790,922189
47791,2093491
47792,592668
47793,753262
47794,943753
47795,3608743
47796,298387
47797,1025628
47798,1737932
47799,751956
47800,1258711
47801,1454272
47802,1002836
47803,1098947
47804,1050327
47805,4273826
47806,1202476
47807,1219033
47808,708840
47809,2993775
47810,1283085
47811,1608609
47812,967025
47813,5800292
47814,1336053
47815,1819715
47816,1092645
47817,733423
47818,659081
47819,1734343
47820,783703
47821,1061103
47822,945084
47823,654776
47824,834978
47825,880634
47826,2347900
